date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:01	492/492	---M--	200	added ('OK')	text/plain	etag:W/%221ec-s2OHAEoX+2s/TzfbUPAHFmqKn+s%22	https://www.myopt.org/robots.txt		(from )
23:43:02	1832406/1832406	---MCZ	200	added ('OK')	text/html	etag:W/%22c49fa35aee60849076068ca245524179%22	https://www.myopt.org/	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/index.html	(from )
23:43:03	87908/87908	---MCZ	200	added ('OK')	text/xml	date:Wed,%2006%20Mar%202024%2004:43:02%20GMT	https://www.myopt.org/blog-feed.xml	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/blog-feed.xml	(from https://www.myopt.org/)
23:43:05	1861212/1861212	---MCZ	200	added ('OK')	text/html	etag:W/%22555cd3702cb5392595c2f5a192830155%22	https://www.myopt.org/vip	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/vip.html	(from https://www.myopt.org/)
23:43:08	1591478/1591478	---MCZ	200	added ('OK')	text/html	etag:W/%2206e332ee50ce0d38c53fa82a7c4ba091%22	https://www.myopt.org/opt	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/opt.html	(from https://www.myopt.org/)
23:43:13	1654635/1654635	---MCZ	200	added ('OK')	text/html	etag:W/%227937da4400c936266d0ca2dbe2706c0b%22	https://www.myopt.org/optext	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/optext.html	(from https://www.myopt.org/)
23:43:15	1621131/1621131	---MCZ	200	added ('OK')	text/html	etag:W/%226313336c66d584502765e791b27b663e%22	https://www.myopt.org/fulltime	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/fulltime.html	(from https://www.myopt.org/)
23:43:17	1632218/1632218	---MCZ	200	added ('OK')	text/html	etag:W/%22f70eda39e2abf8b5b720cf5fd58535d0%22	https://www.myopt.org/offer	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/offer.html	(from https://www.myopt.org/)
23:43:18	1520382/1520382	---MCZ	200	added ('OK')	text/html	etag:W/%2273faa99b880be2080aeaf6bd991805b9%22	https://www.myopt.org/myjob	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/myjob.html	(from https://www.myopt.org/)
23:43:21	1503731/1503731	---MCZ	200	added ('OK')	text/html	etag:W/%22644f2d90db6da766a4ba2490a283b2e7%22	https://www.myopt.org/blog	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/blog.html	(from https://www.myopt.org/)
23:43:22	1006945/1006945	---MCZ	200	added ('OK')	text/html	etag:W/%22b8aeab2028ac9f10577cf45b3a49865e%22	https://www.myopt.org/services-7	/Users/charlieliu/Downloads/webcopy/webcopy/www.myopt.org/services-7.html	(from https://www.myopt.org/)
